programme_name,cluster,subcluster,subject_1,subject_1_grade,subject_2,subject_2_grade,subject_3,subject_3_grade,subject_4,subject_4_grade,programme_code,institution,key,institution_type,location,programme_name_code,pred_cutoff_2025
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1105134,CHUKA UNIVERSITY,CU,Public,THARAKA NITHI COUNTY,134,37.962984999999975
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1093134,UNIVERSITY OF EMBU,UOEM,Public,EMBU COUNTY,134,38.162029999999966
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1087134,KISII UNIVERSITY,KSU,Public,KISII COUNTY,134,38.4813749999999
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1061134,KABARAK UNIVERSITY,KABU,Private,NAKURU COUNTY,134,37.87400999999989
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1078134,AFRICA NAZARENE UNIVERSITY,ANU,Private,KAJIADO COUNTY,134,34.43941499999992
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1060134,RIARA UNIVERSITY,RU,Private,NAIROBI COUNTY,134,35.01459999999998
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1057134,EGERTON UNIVERSITY,EU,Public,NAKURU COUNTY,134,39.00964500000007
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1253134,MOI UNIVERSITY,MU,Public,UASIN GISHU COUNTY,134,34.033869999999986
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1166134,SOUTH EASTERN KENYA UNIVERSITY,SEKU,Public,KITUI COUNTY,134,31.97253000000002
BACHELOR OF LAWS,1,1A,ENG/KIS,B,MAT_ALTERNATIVE_A/MAT_ALTERNATIVE_B,Null,Any_GROUP_II / any_GROUP_III,Null,A_GROUP_II / a_GROUP_III / any_GROUP_IV / any_GROUP_V,Null,1162134,DAYSTAR UNIVERSITY,DAYSTAR,Private,MACHAKOS COUNTY,134,33.81156499999996
