degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme
"BACHELOR OF TECHNICAL EDUCATION (BUILDING CONSTRUCTION OPTION, MECHANICAL ENGINEERING OPTION, ELECTRICAL AND ELECTRONIC OPTION) )",MAT A,PHY,HAG,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,"BACHELOR OF TECHNICAL EDUCATION (BUILDING CONSTRUCTION OPTION, MECHANICAL ENGINEERING OPTION, ELECTRICAL AND ELECTRONIC OPTION) )"
BACHELOR OF SCIENCE IN GEOINFORMATICS,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE IN GEOINFORMATICS
BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY)
BACHELOR OF SCIENCE (GEOLOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (GEOLOGY)
BACHELOR OF SCIENCE (DISASTER MITIGATION AND SUSTAINABLE DEVELOPMENT),MAT A,PHY,BIO,BIO,MAT A: C,PHY: C,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (DISASTER MITIGATION AND SUSTAINABLE DEVELOPMENT)
BACHELOR OF ARTS(SPATIAL PLANNING),MAT A,PHY,HAG,BIO,MAT A: C,,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF ARTS(SPATIAL PLANNING)
BACHELOR OF SCIENCE (METEOROLOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (METEOROLOGY)
BACHELOR OF SCIENCE (HYDROLOGY AND WATER RESOURCES MANAGEMENT),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (HYDROLOGY AND WATER RESOURCES MANAGEMENT)
"BACHELOR OF SCIENCE (EARTH SCIENCE, WITH IT)",MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,MASENO UNIVERSITY,"BACHELOR OF SCIENCE (EARTH SCIENCE, WITH IT)"
BACHELOR OF ENVIRONMENTAL STUDIES (EARTH SCIENCES) ,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ENVIRONMENTAL EDUCATION)
BACHELOR OF INFORMATION COMMUNICATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,MASENO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY)
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE)
BACHELOR OF SCIENCE (COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE)
BACHELOR OF SCIENCE IN COMPUTER TECHNOLOGY,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,MASENO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER TECHNOLOGY)
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BACHELOR OF SCIENCE (INFORMATION TECHNOLOGY),MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BACHELOR OF SCIENCE (INFORMATICS),MAT A,PHY,BIO,BIO,,MAT A: C,RONGO UNIVERSITY,BACHELOR OF SCIENCE (INFORMATICS)
BACHELOR OF INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,MAT A,PHY,BIO,BIO,,MAT A: C,AFRICA INTERNATIONAL UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BACHELOR OF SCIENCE (BIOMETRY AND INFORMATICS),MAT A,PHY,BIO,BIO,,MAT A: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOMETRY AND INFORMATICS)
BACHELOR OF SCIENCE IN APPLIED COMPUTING,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE)
BACHELOR OF SCIENCE IN NETWORKS AND COMMUNICATION SYSTEMS ,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN NETWORKS AND COMMUNICATION SYSTEMS 
BACHELOR OF SCIENCE (APPLIED COMPUTER SCIENCE),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,ALUPE UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (COMPUTER SCIENCE)
BACHELOR OF ENGINEERING PHYSICS,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS
BACHELOR OF SCIENCE IN INFORMATION SECURITY AND FORENSICS,MAT A,PHY,BIO,BIO,MAT A: C+,,KCA UNIVERSITY,BACHELOR OF SCIENCE IN INFORMATION SECURITY AND FORENSICS
BACHELOR OF SCIENCE IN TEXTILE TECHNOLOGY & APPLIED FASHION DESIGN,CHE,MAT A,BIO,ENG,CHE: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY)
BACHELOR OF SCIENCE IN APPLIED PHYSICS,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF ENGINEERING PHYSICS
BACHELOR OF SCIENCE IN COMPUTING AND INFORMATION SYSTEMS,MAT A,PHY,BIO,BIO,MAT A: C+,,ST PAULS UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTING AND INFORMATION SYSTEMS
BACHELOR OF SCIENCE IN INDUSTRIAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)
BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY)
BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY),CHE,MAT A,BIO,ENG,CHE: C,,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (FASHION DESIGN AND TEXTILE TECHNOLOGY)
BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)
"BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY, WITH IT)",MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (INDUSTRIAL CHEMISTRY)
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY)
"BACHELOR OF TECHNOLOGY IN WATER, IRRIGATION AND ENVIRONMENTAL ENGINEERING",MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,"BACHELOR OF TECHNOLOGY IN WATER, IRRIGATION AND ENVIRONMENTAL ENGINEERING"
BACHELOR OF SCIENCE IN PETROLEUM EXPLORATION AND PRODUCTION,MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (PETROLEUM CHEMISTRY)
BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (AGRICULTURAL ENGINEERING)
BACHELOR OF SCIENCE IN ANALYTICAL CHEMISTRY WITH COMPUTING,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (ANALYTICAL CHEMISTRY)
BACHELOR OF SCIENCE IN COMPUTER SYSTEMS ENGINEERING,MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE IN COMPUTER SYSTEMS ENGINEERING
BACHELOR OF SCIENCE (MINING AND MINERAL PROCESSING ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (MINING PHYSICS)
BACHELOR OF TECHNOLOGY IN APPLIED CHEMISTRY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,TECHNICAL UNIVERSITY OF MOMBASA,BACHELOR OF TECHNOLOGY IN APPLIED CHEMISTRY
BACHELOR OF EDUCATION TECHNOLOGY (COMPUTER STUDIES),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF EDUCATION TECHNOLOGY (COMPUTER STUDIES)
BACHELOR OF SCIENCE (MINING PHYSICS),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (MINING PHYSICS)
BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MOI UNIVERSITY,BACHELOR OF EDUCATION (TECHNOLOGY EDUCATION)
BACHELOR OF SCIENCE (RENEWABLE ENERGY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY)
BACHELOR OF SCIENCE (ELECTRONICS),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (ELECTRONICS)
BACHELOR OF SCIENCE IN APPLIED OPTICS AND LASERS,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN APPLIED OPTICS AND LASERS
BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY)
BACHELOR OF ENGINEERING (INDUSTRIAL AND TEXTILE ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,MOI UNIVERSITY,BACHELOR OF ENGINEERING (INDUSTRIAL AND TEXTILE ENGINEERING)
BACHELOR OF TECHNOLOGY IN RENEWABLE ENERGY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY)
BACHELOR OF SCIENCE (PETROLEUM CHEMISTRY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KISII UNIVERSITY,BACHELOR OF SCIENCE (PETROLEUM CHEMISTRY)
BACHELOR OF TECHNOLOGY IN RENEWABLE ENERGY & ENVIRONMENTAL PHYSICS,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY)
BACHELOR OF SCIENCE (RENEWABLE ENERGY TECHNOLOGY AND MANAGEMENT),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (RENEWABLE ENERGY TECHNOLOGY AND MANAGEMENT)
BACHELOR OF TECHNOLOGY (CHEMICAL ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,BACHELOR OF TECHNOLOGY (CHEMICAL ENGINEERING)
BACHELOR OF SCIENCE IN RENEWABLE ENERGY TECHNOLOGY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY)
BACHELOR OF SCIENCE IN TELECOMMUNICATION,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KABARAK UNIVERSITY,BACHELOR OF SCIENCE IN TELECOMMUNICATION
BACHELOR OF SCIENCE (DISASTER PREPAREDNESS AND ENVIRONMENT TECHNOLOGY),MAT A,PHY,CHE,BIO,MAT A: C+,PHY: C+,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (DISASTER MITIGATION AND SUSTAINABLE DEVELOPMENT)
BACHELOR OF SCIENCE (RENEWABLE ENERGY AND TECHNOLOGY),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (RENEWABLE ENERGY AND BIOFUELS TECHNOLOGY)
BACHELOR OF TECHNOLOGY IN MECHANICAL VENTILATION AND AIR CONDITIONING,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIRINYAGA UNIVERSITY,BACHELOR OF TECHNOLOGY IN MECHANICAL VENTILATION AND AIR CONDITIONING
BACHELOR OF TECHNOLOGY (TELECOMMUNICATION AND INFORMATION ENGINEERING),MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,KIRINYAGA UNIVERSITY,BACHELOR OF TECHNOLOGY (TELECOMMUNICATION AND INFORMATION ENGINEERING)
BACHELOR OF INDUSTRIAL TECHNOLOGY,MAT A,PHY,CHE,BIO,MAT A: C,PHY: C,EGERTON UNIVERSITY,BACHELOR OF INDUSTRIAL TECHNOLOGY
BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT & TRADE),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF SCIENCE (AGRIBUSINESS MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF SCIENCE (AGRI BUSINESS MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF SCIENCE(AGRIBUSINESS MANAGEMENT),MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
BACHELOR OF SCIENCE IN AGRIBUSINESS MANGEMENT,MAT A,BIO,PHY,PHY,MAT A: C+,BIO: C+,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE (AGRIBUSINESS)
