#,Key,Name,Category,Institution Type,Parent Ministry,Location
1,ABERDARE TTC,ABERDARE TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,NYANDARUA COUNTY
2,AIU,AFRICA INTERNATIONAL UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
3,ANU,AFRICA NAZARENE UNIVERSITY,University,Private,Private Institution,KAJIADO COUNTY
4,ASM TTI,AHMED SHAHAME MWIDANI TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,MOMBASA COUNTY
5,ALDAITTI,ALDAI TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,NANDI COUNTY
6,AU,ALUPE UNIVERSITY,University,Public,Ministry of Education,BUSIA COUNTY
7,ALUPE UNIVERSITY TVET INSTITUTE,ALUPE UNIVERSITY TVET INSTITUTE,College,Public,University TVET,BUSIA COUNTY
8,AMIU,AMREF INTERNATIONAL UNIVERSITY,University,Private,Private Institution,NAIROBI COUNTY
9,ASUMBI TTC,ASUMBI TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,HOMA BAY COUNTY
10,BAHATI IBAS,BAHATI INSTITUTE OF BUSINESS AND ADMINISTRATION STUDIES,College,Public,Ministry of Education,NAKURU COUNTY
11,BALAMBALA TVC,BALAMBALA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,GARISSA COUNTY
12,BMA,BANDARI MARITIME ACADEMY,College,Public,In Other Ministries,MOMBASA COUNTY
13,BARINGO POLY,BARINGO NATIONAL POLYTECHNIC,College,Public,Ministry of Education,BARINGO COUNTY
14,BELGUT TVC,BELGUT TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KERICHO COUNTY
15,BISHOP MAHON TTC,BISHOP MAHON TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,TURKANA COUNTY
16,BOMET TVC,BOMET TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,BOMET COUNTY
17,BUC,BOMET UNIVERSITY COLLEGE,University,Public,Ministry of Education,BOMET COUNTY
18,BONDO TTC,BONDO TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,SIAYA COUNTY
19,BONDO TTI,BONDO TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,SIAYA COUNTY
20,BORABU TTC,BORABU TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,NYAMIRA COUNTY
21,BORABU TVC,BORABU TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,NYAMIRA COUNTY
22,BAC,BUKURA AGRICULTURAL COLLEGE,College,Public,In Other Ministries,KAKAMEGA COUNTY
23,BUMBE TTI,BUMBE TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BUSIA COUNTY
24,BUNGOMA NORTH TVC,BUNGOMA NORTH TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUNGOMA COUNTY
25,BUNYALA TVC,BUNYALA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUSIA COUNTY
26,BUNYORE TTC,BUNYORE TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,VIHIGA COUNTY
27,BURETI TTI,BURETI TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KERICHO COUNTY
28,BUSHIANGALA TTI,BUSHIANGALA TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,KAKAMEGA COUNTY
29,BUTERE TVC,BUTERE TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,KAKAMEGA COUNTY
30,BUTULA TVC,BUTULA TECHNICAL & VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUSIA COUNTY
31,CARDINAL MAURICE OTUNGA TVC,CARDINAL MAURICE OTUNGA TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUNGOMA COUNTY
32,CUEA,CATHOLIC UNIVERSITY OF EASTERN  AFRICA,University,Private,Private Institution,NAIROBI COUNTY
33,CTTR,CENTRE FOR TOURISM TRAINING AND RESEARCH,College,Public,In Other Ministries,NAIROBI COUNTY
34,CHAMASIRI TVC,CHAMASIRI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,BUSIA COUNTY
35,CHANZEYWE TVC,CHANZEYWE TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,VIHIGA COUNTY
36,CHEPALUNGU TTI,CHEPALUNGU TECHNICAL TRAINING INSTITUTE,College,Public,Ministry of Education,BOMET COUNTY
37,CHEPSIREI TVC,CHEPSIREI TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,ELGEYO MARAKWET COUNTY
38,CHERANGANY TVC,CHERANGANY TECHNICAL AND VOCATIONAL COLLEGE,College,Public,Ministry of Education,TRANSNZOIA COUNTY
39,CHESTA TTC,CHESTA TEACHERS TRAINING COLLEGE,College,Public,Ministry of Education,WEST POKOT COUNTY
