degree,Cluster Subject 1,Cluster Subject 2,Cluster Subject 3,Cluster Subject 4,Subject 1 Requirement,Subject 2 Requirement,Institution,Programme,id,course_id,program_code,institution_name,2015,2016,2017,2018,2019,2020,2021
"BACHELOR OF TECHNICAL EDUCATION (BUILDING CONSTRUCTION OPTION, MECHANICAL ENGINEERING OPTION, ELECTRICAL AND ELECTRONIC OPTION) )",MAT A,PHY,HAG,BIO,MAT A: C+,PHY: C+,KIRINYAGA UNIVERSITY,"BACHELOR OF TECHNICAL EDUCATION (BUILDING CONSTRUCTION OPTION, MECHANICAL ENGINEERING OPTION, ELECTRICAL AND ELECTRONIC OPTION) )",836,89,1079192,KIRINYAGA UNIVERSITY,,,,,24.46,19.481,16.787
BACHELOR OF SCIENCE IN GEOINFORMATICS,MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,TAITA TAVETA UNIVERSITY,BACHELOR OF SCIENCE IN GEOINFORMATICS,1938,429,1091619,TAITA TAVETA UNIVERSITY,,,,26.2,24.919,17.674,17.802
BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,KISII UNIVERSITY,BACHELOR OF SCIENCE (GEOPHYSICS AND MINERALOGY),1862,396,1087579,KISII UNIVERSITY,29.574,22.741,,25.133,24.607,17.674,17.802
BACHELOR OF SCIENCE (GEOLOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (GEOLOGY),126,13,1166113,SOUTH EASTERN KENYA UNIVERSITY,23.0,23.571,,23.942,28.672,17.674,17.802
BACHELOR OF SCIENCE (GEOLOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (GEOLOGY),127,13,1263113,UNIVERSITY OF NAIROBI,34.972,34.979,31.293,30.591,32.49,24.712,17.802
BACHELOR OF SCIENCE (DISASTER MITIGATION AND SUSTAINABLE DEVELOPMENT),MAT A,PHY,BIO,BIO,MAT A: C,PHY: C,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (DISASTER MITIGATION AND SUSTAINABLE DEVELOPMENT),2104,497,1082744,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,23.0,24.934,,33.342,26.346,17.674,22.926
BACHELOR OF ARTS(SPATIAL PLANNING),MAT A,PHY,HAG,BIO,MAT A: C,,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF ARTS(SPATIAL PLANNING),1655,314,1053485,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,23.0,24.706,,22.908,23.783,19.481,19.039
BACHELOR OF SCIENCE (METEOROLOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (METEOROLOGY),88,10,1166110,SOUTH EASTERN KENYA UNIVERSITY,23.0,24.584,,26.353,28.482,17.674,17.802
BACHELOR OF SCIENCE (METEOROLOGY),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (METEOROLOGY),89,10,1263110,UNIVERSITY OF NAIROBI,31.016,27.758,26.785,24.321,25.446,17.674,17.802
BACHELOR OF SCIENCE (HYDROLOGY AND WATER RESOURCES MANAGEMENT),MAT A,PHY,BIO,BIO,MAT A: C+,PHY: C+,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (HYDROLOGY AND WATER RESOURCES MANAGEMENT),1658,316,1166487,SOUTH EASTERN KENYA UNIVERSITY,23.0,24.205,,26.023,25.339,17.674,17.802
